緯度,経度,店名,紹介文,住所,電話番号,定休日,テイクアウト営業時間,ジャンル,価格帯,支払い方法,Instagram,Twitter,公式サイト
34.9732009,134.964323,笑仁。,"お店の人気メニューが少しずつ味わえる中華弁当。
最高級羽二重もち米を100％使用した手作りちまきは、イベントでも大人気の一品です。中華弁当は前日までに予約をお願いします。
弁当の内容は日によって多少変更します。",兵庫県西脇市野村町1288,0795-22-2000,木曜日（不定休あり）,11:00～14:30　16:00～18:00,中華,"台湾ちまき：432円（税込）
中華弁当：1,100円（税込）
その他にもメニューあります。",現金,,,https://tsuku2.jp/syoujin802/
34.98641,134.9799308,レ・ボ・プロヴァンス,"おうちでゆったり旬のフルーツたっぷりの sweets をお楽しみください。予約サイト（下記URL）またはお電話にてお取り置き予約可。
サンドイッチ類は前日までにご予約ください。
SNS にて随時配信いたします。",兵庫県西脇市上野109-1,0795-25-2424,木曜日,"販売は土・日・月・火　7:30～
受取りは15時までにご来店ください。",カフェ,"ミニパフェ：700円～750円（税別）
フルーツサンド：450円～550円（税別）
その他にもメニューあります。",現金,,,https://lebopro.thebase.in/
